Name,id,gw1,gw2,gw3,gw4,gw5,gw6,gw7,gw8,gw9,gw10,gw11,gw12,gw13,gw14,gw15,gw16,gw17,gw18,gw19,gw20,gw21,gw22,gw23,gw24,gw25,gw26,gw27,gw28,gw29,gw30,gw31,gw32,gw33,gw34,gw35,gw36,gw37,gw38,gw39,gw40,gw41,gw42,gw43,gw44,gw45,gw46,gw47,gw48,gw49
Mateusz Klich,198,9,9,3,2,2,5,2,4,3,3,2,8,4,1,3,4,2,0,2,1,2,2,3,1,3,1,1,1,1,1,0,1,1,2,2,8,0,0,2,9,0,0,2,5,3,2,2,0,0
Adam Forshaw,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
Stuart Dallas,200,3,1,6,1,2,6,6,0,5,8,1,1,7,5,6,12,1,0,2,2,7,1,12,-1,17,2,1,6,2,2,17,1,6,1,9,6,5,2,5,2,2,2,2,2,3,2,3,2,2
Ezgjan Alioski,201,0,1,1,1,0,7,1,0,9,6,1,0,8,-1,6,12,1,0,2,0,2,1,6,-1,2,1,1,5,2,2,4,1,5,1,5,10,6,2,0,0,0,0,0,0,0,0,0,0,0
Patrick Bamford,202,7,14,8,1,2,17,2,7,2,2,8,5,6,2,8,8,2,0,2,1,15,5,6,2,8,2,2,1,11,2,4,2,1,1,9,1,12,6,2,4,8,2,5,0,0,0,0,0,0
Jack Harrison,203,7,2,7,0,2,3,6,2,3,6,1,1,12,2,3,8,2,0,2,7,9,1,9,1,3,1,1,3,7,13,0,5,3,2,2,16,3,5,2,2,2,2,0,1,0,2,1,1,2
Kalvin Phillips,204,5,2,2,2,1,0,0,0,2,3,7,2,1,1,3,3,1,0,0,2,2,2,3,0,0,0,1,3,1,2,2,2,3,0,1,2,0,6,0,2,1,2,2,2,3,0,0,5,2
Hélder Wander Sousa de Azevedo e Costa,205,5,14,3,2,2,6,2,-1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,6,8,2,1,1,0,0,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tyler Roberts,206,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,4,8,1,1,2,2,2,3,2,2,2,1,1,6,1,1,1,1,1,1,0,1,1,1,1,1
Jay-Roy Grot,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamil Miazek,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Carlo Poveda-Ocampo,209,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Shackleton,210,1,0,0,0,0,3,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,2,3,2,1,1,0
Pascal Struijk,211,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,6,1,0,2,2,2,1,6,6,8,1,0,6,2,0,1,2,6,1,2,6,0,1,0,1,1,-3,0,0,1,1,2,2,2
Jordan Stevens,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illan Meslier,213,1,2,10,2,2,7,1,1,6,11,3,3,1,1,11,6,2,0,0,3,4,2,10,0,10,3,9,11,3,2,4,5,7,2,2,7,0,0,1,3,2,2,4,1,6,3,3,2,2
Leif Davis,214,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Casey,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Koch,491,0,1,6,2,2,8,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Moreno,492,1,1,1,8,2,5,0,0,1,1,1,2,12,2,1,8,2,0,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,7,12,5,8,1,0,1,1,1,2,2,2,8,6,2
Elia Caprile,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Bogusz,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Llorente,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,1,6,2,2,2,10,7,2,2,6,1,0,0,0,2,0,0,0,15,1,2,2,2
Raphael Dias Belloli,570,0,0,0,0,1,1,0,1,3,9,1,2,1,8,3,8,2,0,2,13,5,9,6,5,12,2,2,3,8,6,2,0,0,0,4,6,3,5,1,7,2,2,8,8,3,0,1,9,9
Jack Jenkins,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niall Huggins,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Cresswell,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Joe Gelhardt,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
Gaetano Berardi,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
Sam Greenwood,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crysencio Summerville,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Cody Drameh,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,241,0,1,1,1,0,1,1,1,11,3,0,0,0,0,0,2,1,0,1,2,1,2,1,1,0,2,2,1,0,3,1,2,1,0,0,0,1,0,2,0,0,0,3,0,1,7,1,0,0
Konstantinos Tsimikas,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,11,1,0,5,0,0,1,0,0,0
Georginio Wijnaldum,243,2,3,2,2,1,2,2,2,3,2,8,6,2,3,2,1,2,0,5,2,9,1,2,2,2,5,2,3,0,1,2,2,2,0,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,244,2,1,0,0,2,2,2,2,0,1,11,2,2,8,2,3,2,0,3,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,7,2,3,6,10,2
Adrián San Miguel del Castillo,245,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Matip,246,1,0,0,0,1,0,0,1,6,0,14,1,0,9,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,6,0,1,1,6,0,0,1
Xherdan Shaqiri,247,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,4,0,7,2,1,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,248,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,6,1,3,0,0,1,0,0,0,1,1,7,2
Roberto Firmino,249,1,5,2,5,2,9,2,1,6,2,2,2,9,16,2,2,2,0,3,7,4,2,2,5,2,7,0,0,0,2,2,1,2,0,17,2,8,5,7,1,1,0,0,1,1,20,2,2,0
Virgil van Dijk,250,7,7,2,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,6,12,1,1,6,6,1,1
Sadio Mané,251,2,16,7,0,6,8,2,5,3,1,6,2,2,9,9,3,2,0,5,15,0,0,2,2,1,5,1,6,0,6,1,8,2,0,12,5,6,16,3,8,5,8,8,2,7,8,1,7,2
Alisson Ramses Becker,252,1,14,2,0,0,2,2,2,8,1,0,3,2,7,2,6,2,0,13,2,2,0,0,2,2,3,2,9,0,6,3,3,3,0,11,10,7,8,7,8,2,9,7,1,1,0,7,2,-1
Fabio Henrique Tavares,253,4,3,2,2,1,2,0,0,3,2,3,4,2,3,2,2,2,0,3,0,0,0,1,0,0,2,1,3,0,6,2,2,1,0,5,2,3,3,1,0,2,7,3,5,1,0,0,0,2
Mohamed Salah,254,20,3,5,13,7,2,8,9,0,6,14,8,7,16,2,3,2,0,4,2,15,2,7,7,2,5,2,3,0,8,7,1,9,0,13,10,3,6,17,3,10,8,12,7,13,13,24,5,5
Andrew Robertson,255,4,6,10,-1,6,2,2,2,12,2,6,2,5,10,2,9,1,0,8,2,2,2,0,1,1,9,2,6,0,7,4,2,3,0,7,2,15,8,0,0,2,7,0,3,1,6,6,0,1
Divock Origi,256,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
Harry Wilson,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,259,1,7,7,-1,1,2,2,2,0,0,1,2,2,9,2,6,2,0,8,14,2,2,0,1,1,11,1,9,0,12,11,8,2,0,16,6,6,5,6,12,4,12,0,1,0,6,10,1,12
Joseph Gomez,260,1,0,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Naby Keita,261,1,3,2,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,1,6,0,0,3,13,1,0
Curtis Jones,263,1,0,0,1,0,0,2,0,3,1,3,1,2,1,2,3,0,0,1,1,4,1,2,2,2,10,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,1,8,7,0,3,2,0
Neco Williams,264,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Harvey Elliott,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,0,0,0,0,0,0
Diogo Jota,468,0,0,6,2,1,9,8,2,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,12,2,3,1,0,10,0,0,1,8,8,1,3,3,7,2,0,11,1,2
Thiago Alcántara do Nascimento,531,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,2,2,1,2,2,5,0,2,0,3,1,2,3,0,11,2,3,3,0,1,1,7,3,0,0,0,0,0,1
Caoimhin Kelleher,560,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Nathaniel Phillips,589,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,5,0,0,0,0,2,2,0,0,2,6,2,6,0,6,2,0,0,0,10,2,13,6,0,0,0,0,0,0,0,0,0,0,0
Rhys Williams,594,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8,2,6,6,0,0,0,0,0,0,0,0,0,0,0
Leighton Clarkson,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Cain,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ozan Kabak,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,6,2,2,1,0,0,0,0,0,0,0,0,0,1,1,6,5,-1,1,0
Ben Davies,653,2,1,2,4,0,6,1,0,0,1,1,1,1,0,6,0,6,0,2,1,2,2,6,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Liam Hughes,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Ojrzynski,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Woodburn,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Koumetio,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Luiz Rosa,266,0,2,1,1,1,0,0,0,0,1,0,5,0,0,1,0,1,0,6,0,8,0,0,1,9,1,0,1,0,5,0,1,0,6,0,0,-1,15,2,0,0,1,3,1,0,1,1,0,0
Claudio Bravo,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Agüero,268,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,6,0,2,0,0,0,8,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Nicolás Otamendi,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Walker,270,0,2,0,2,7,2,15,1,1,9,0,7,1,8,0,0,0,0,7,0,6,0,0,2,0,4,2,0,0,6,0,2,0,0,0,1,0,6,0,6,1,6,6,7,1,0,1,1,8
Ilkay Gündogan,271,0,0,0,0,1,2,1,2,0,3,3,0,10,3,11,0,9,3,18,14,3,8,13,19,3,6,10,0,0,0,1,1,0,0,1,5,7,0,2,2,9,3,3,0,0,0,10,0,3
Kevin De Bruyne,272,0,13,2,2,0,1,6,3,2,10,14,3,4,5,3,0,13,6,8,0,0,0,0,1,3,10,16,0,0,3,0,0,0,0,0,0,0,13,1,0,0,0,1,3,8,11,1,1,3
John Stones,273,0,2,0,0,0,0,0,0,0,6,6,8,0,8,6,0,2,6,27,6,0,6,2,6,6,10,1,14,0,0,1,-2,0,0,0,0,1,6,0,0,0,0,0,0,0,6,0,1,6
Benjamin Mendy,274,0,1,0,1,0,0,0,0,0,14,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,15,2,0,0,12,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0
Riyad Mahrez,275,0,0,12,2,3,2,3,0,2,21,4,3,0,1,0,0,1,3,1,12,0,3,2,10,7,17,20,0,0,3,0,2,0,0,0,0,5,6,2,6,4,0,1,1,0,3,6,1,0
Raheem Sterling,276,0,5,2,9,11,2,3,1,1,0,13,3,7,8,6,0,5,-1,11,11,0,8,8,7,8,2,2,0,0,4,2,0,0,3,6,2,0,5,2,6,1,1,3,1,1,3,0,1,0
João Pedro Cavaco Cancelo,277,0,0,0,0,8,5,8,3,1,0,6,6,1,8,7,0,2,6,8,17,0,6,2,8,5,2,1,12,0,0,1,0,0,6,1,11,-3,0,2,6,6,12,6,12,0,6,1,2,14
Ederson Santana de Moraes,278,0,2,0,4,7,2,6,3,1,6,6,6,2,6,6,0,0,6,13,6,6,5,2,14,6,4,4,6,0,5,1,2,0,7,2,0,2,12,2,6,6,6,8,6,1,0,2,0,6
Nathan Aké,279,0,2,5,1,5,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,2,0,0,0,6,0,0,6,0,0,0
Aymeric Laporte,280,0,0,0,2,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,1,6,7,0,8,0,2,1,6,0,7,0,1,0,6,1,0,0,0,0,14,6,5,0,5,1,5,2,-3,0
Bernardo Mota Veiga de Carvalho e Silva,281,0,0,0,1,3,2,3,1,2,0,0,0,0,3,3,0,1,3,10,4,3,6,5,15,2,2,2,3,0,0,6,11,0,0,0,2,1,0,0,3,4,10,3,3,1,11,5,1,8
Gabriel Fernando de Jesus,282,0,6,0,0,0,0,0,9,2,5,2,2,2,0,0,0,0,1,6,1,9,9,4,7,1,14,2,7,0,8,2,1,0,2,1,5,1,6,1,11,12,2,2,8,5,0,5,2,2
Oleksandr Zinchenko,283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,12,6,6,1,2,6,8,2,2,0,0,0,2,2,0,1,1,0,1,6,1,0,1,0,0,0,0,0,0,0,0
Phil Foden,284,0,9,2,2,6,6,1,0,1,4,0,0,2,0,1,0,14,11,4,1,3,0,16,11,0,1,12,0,0,1,1,9,0,0,1,0,10,6,0,0,0,0,1,3,7,6,18,2,3
Tommy Doyle,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Hernandez,286,0,1,2,2,2,2,3,2,2,1,3,3,2,3,0,0,2,3,9,3,1,3,2,11,0,3,2,3,0,2,0,8,0,3,2,4,1,1,0,3,7,2,0,3,2,3,2,2,3
Ferran Torres,287,0,1,1,5,0,0,3,2,1,8,0,1,0,3,8,0,0,0,4,1,6,0,0,1,0,2,1,6,0,1,7,0,0,9,2,20,1,1,2,3,18,3,0,0,0,0,0,0,0
Eric Garcia,288,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Adrián Bernabé,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack Steffen,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Liam Delap,539,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Palmer,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Rúben Santos Gato Alves Dias,556,0,0,0,2,5,2,6,2,0,6,6,6,0,9,6,0,2,7,18,6,8,6,1,2,7,12,2,6,0,6,0,2,0,0,1,0,1,5,2,11,6,7,8,5,0,1,2,1,6
James Trafford,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Carson,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Felix Nmecha,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Mbete,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Harwood-Bellis,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudio Gomes,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Romero,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Mata,290,0,0,0,0,5,1,0,2,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0
David de Gea,291,0,1,2,-1,3,6,2,2,6,0,0,6,0,1,1,10,3,6,10,1,7,6,1,2,3,9,0,0,0,0,0,0,0,0,1,0,3,0,2,3,7,2,10,2,2,2,1,6,2
Chris Smalling,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odion Ighalo,293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Rojo,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemanja Matic,295,0,0,4,1,1,0,1,0,3,2,0,0,2,0,0,3,0,3,1,2,0,0,0,0,2,3,1,0,0,0,1,0,0,0,4,0,0,2,1,2,0,2,4,0,0,2,0,4,0
Paul Pogba,296,0,2,2,2,1,1,2,1,0,0,10,3,4,0,1,3,5,11,12,2,2,0,1,0,0,0,0,0,0,7,5,5,1,0,7,0,2,0,16,4,2,9,2,2,1,1,-2,0,0
Phil Jones,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Maguire,298,0,0,4,-1,8,7,1,2,6,1,2,5,1,1,1,7,1,6,9,8,5,5,1,2,5,13,5,8,0,2,1,2,5,0,1,0,0,0,2,1,7,2,2,7,0,0,-1,5,1
Frederico Rodrigues de Paula Santos,299,0,0,1,1,2,2,2,1,3,2,0,3,0,2,2,0,2,0,5,0,3,3,1,2,2,5,3,3,0,2,7,1,3,0,4,0,2,0,7,0,2,0,2,1,2,0,1,2,2
Luke Shaw,300,0,1,1,-2,0,5,2,7,0,0,0,9,0,1,3,1,1,7,10,1,6,7,3,8,2,12,14,9,0,2,1,2,8,0,2,0,1,0,1,4,6,5,2,0,2,0,-1,5,1
Bruno Miguel Borges Fernandes,302,0,2,12,6,11,3,2,17,11,10,6,3,2,17,12,6,10,2,8,2,3,17,7,9,12,6,10,3,0,5,2,2,3,0,19,0,4,0,20,1,2,8,2,0,5,5,1,6,2
Anthony Martial,303,0,2,2,1,0,0,0,2,2,0,2,1,10,12,2,1,6,2,4,2,1,13,0,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,7,0,0,0,0
Andreas Pereira,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean Henderson,305,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,0,2,2,2,7,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Marcus Rashford,306,0,2,7,2,15,2,2,5,3,5,6,3,14,2,7,7,2,6,3,2,3,9,5,2,12,6,6,2,0,8,2,7,3,0,13,0,1,0,0,0,0,0,0,0,0,6,2,6,1
Axel Tuanzebe,307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,2,1,6,0,0,1,0,0,1
Victor Lindelöf,308,0,1,1,0,2,6,2,2,7,1,2,6,4,7,2,0,0,0,6,0,6,6,1,2,2,6,6,8,0,2,2,2,6,0,2,0,2,0,5,2,0,0,0,1,2,2,0,6,1
Scott McTominay,309,0,2,0,1,2,3,2,2,1,0,2,3,1,18,2,1,2,1,4,0,1,8,8,2,0,4,3,5,0,1,1,2,3,0,3,0,3,0,2,1,0,0,2,3,2,1,2,3,2
Eric Bailly,310,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,1,9,1,7,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,-2
Daniel James,311,0,1,0,0,1,1,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,6,0,0,8,4,3,2,0,1,0,0,3,0,0,0,0,5,2,0,1,1,2,1,3,2,2,5,2
Timothy Fosu-Mensah,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
